PCA1,PCA2,PCA3,crypto_cluster
-0.6006673254375191,0.8427600624855469,0.4615945681105939,1
-0.4582607140103181,0.458465664462885,0.9528767837135819,1
-0.4330698051365732,-0.16812638169325142,-0.6417519291406765,0
-0.47183494873890397,-0.22266007696009238,-0.4790531575755713,0
-1.1577999724406276,2.041209185241845,1.8597152736981117,1
-0.516533769738627,1.3883774818625887,0.8040713050022813,1
-0.4507113399717292,0.5176991167274064,2.846143157475277,1
-0.3455997666169116,0.729439394532293,1.4780128444941123,1
-0.6494679214405757,0.43216513770740733,0.6003028588105241,1
-0.7590139422969424,-0.20119978804155858,-0.21765291815350654,0
-0.24819846472379947,-1.3762515898012435,-1.4620257131124923,0
-0.4384076222360074,-0.17533654196886442,-0.6633884037364072,0
-0.6934253333100062,-0.4738146235496442,-0.5275969255267894,0
0.06049914778110277,2.90940385183678,1.4985713063809931,1
-0.3933524257856293,-0.10819197462494064,-0.012756080213432356,0
-0.7961756359232381,-0.49440875241504456,1.0828116910517578,1
0.06407451856195126,-1.2698251355978094,-1.0988292750751871,0
-0.4890150610215595,-0.7327191199192659,-0.06254323300898382,0
-0.30627229767490344,0.7034151468998122,1.7142235864193394,1
-0.5135277531437928,-0.14280239241374612,-0.6565658346817499,0
-0.362120436071892,-0.986914408011463,-0.7287523216679119,0
-0.6042646308186975,0.8273976353815271,0.43931593833961147,1
-0.413295603572163,-0.6741152680768145,-1.0766283383557325,0
-0.4074830358443057,-0.21250654705339073,-0.35142562766632457,0
0.6089738213442372,0.5635321240704234,-1.1487415949964532,0
-0.4502111411067908,-0.15101945266575142,-0.6474006119131066,0
-0.7646652213141066,-0.5178855387924591,0.2049902900181866,0
-0.5563146750187731,-1.9382090595380141,-1.261775887450349,0
-0.42514677429771885,0.492976172545083,1.0580483724870295,1
2.676867612325497,-0.013954099621348547,-1.9652072219391383,0
-0.6139227463582034,-0.47933680290429165,0.33956513273829025,0
-0.57992397787708,-0.3563337705231639,-0.11494201872557641,0
8.089018214765598,-3.8968905354865204,2.3013820764937627,2
-0.38904525957800784,0.1650406340728051,0.3794136971555254,1
0.8657618298532893,-2.2618823859082138,0.27558289140280573,0
0.11167508357409453,0.42831576443907654,-1.2053979663131364,0
4.792395401459629,6.7676786752622515,-1.9869854471135235,3
-0.6323549165416775,-2.1081171283340425,-0.6522273846771948,0
-0.5931421641297329,0.02148496242763646,0.20991141756366818,0
-0.45813050241027187,-0.13573403362162478,-0.635283570464061,0
-0.2979104450783167,-0.19112560243280555,-0.9096017298481468,0
